
> theandril@0.1.0 art:validate /home/telephoneheater/Work/Theandril-release
> tsx scripts/art.ts validate

settlement.city.lantern_hospices (BRIEF_READY): PASS 95b084ed02c90dcb08d95b9cecbffbffb6d613dce985fe1682ea653cda13b921
settlement.city.manytrack_moot (BRIEF_READY): PASS 2e9fa91726c84703e95210ac29edb585e6b8c9018338d3e1cbf662a719d1a76a
settlement.city.margin_observance (BRIEF_READY): PASS bbe6297ff55df2f27acba9071a1a3f5b554f56deaad31710db199ae4262b401e
settlement.city.mire_courts (BRIEF_READY): PASS 33843526a8fbcf9810d91c06fec52e26b76155555b3e88a018d00840dfad5a42
settlement.city.morrow_spore (BRIEF_READY): PASS 6996de4217c692dc00b0998ed9dfb2455488edf4afff7f839dac7b70a95ead5c
settlement.city.red_sluice (BRIEF_READY): PASS 4b155aaf5206004c0fc42ef460dd46225724cd30081065ee6867915110e4f1aa
settlement.city.reedbound_council (BRIEF_READY): PASS 1ef91a6fcfbf0330d4d502de498e6b88da68b19203995806e7fa3bf95d914962
settlement.city.rimehorn_clans (BRIEF_READY): PASS d7ad03aee853a50ce73d737b28c43a1ea11984b9c64f480f50389ad54f3cf454
settlement.city.sable_steppe (BRIEF_READY): PASS c8bf007e91ef627e980910710dc5a4021018f4784fea3b4c10273f9d044ab1cc
settlement.city.saltwind_remnant (BRIEF_READY): PASS 1d0a9008812775d8b0eddb316b4aec277e7de4b7ba2036d1655cfa6b53c34380
settlement.city.sepulchral_synod (BRIEF_READY): PASS f85424b2441ff126e1a5da7f68f6f188335376566d29bba09ce79c227ab45b04
settlement.city.underhush_exchange (BRIEF_READY): PASS 53d4841c39c24e851e4becaf110c5048ca28b207cf22f13e50373369925212a9
settlement.city.unsealed_companies (BRIEF_READY): PASS 8f23f493a6575f6e61357a5f9dbc2150a86ae3a6e0d1fcb9722e9bd672974e41
settlement.city.velvet_meridian (BRIEF_READY): PASS f252761d7c028aab6bcb85dbd43563007b7d96f1548958a2a1120177e88bf31d
settlement.city.vesper_court (BRIEF_READY): PASS b1670b12ba83e08b78c417ccae74e545877a3e80ec60ebdafc6df5d9aaa52b71
settlement.city.wardhall_remnant (BRIEF_READY): PASS 07d14ef75a2eb553789ddb1fe1207389dcc6f6363a03d4bf4d8be7262df2aa0b
settlement.town.ashen_compact (BRIEF_READY): PASS 87aae4f3a824b3a9b5a837aa875a03094580007ac2be1c0672eb91136796d316
settlement.town.brine_choir (BRIEF_READY): PASS 2fe33df807d8a691eca6fd0a902e7d4245a8a121413af756680b3f50ece6a667
settlement.town.cairnwing_concord (BRIEF_READY): PASS 1de5f0549ced052693d328747e39cee936c11d42ccb54dd85f5c40497e31a51e
settlement.town.cinder_march (BRIEF_READY): PASS 647b322cd1d5c80b44451651c51048461d1407cc3eb1eaf6d148e8d54cf15940
settlement.town.cistern_assembly (BRIEF_READY): PASS 75cfd6bb3d96fd0a5a8d633e22ea21db3ab6dcace15f035ecd8af3e201eeb70f
settlement.town.emberwake_convocation (BRIEF_READY): PASS f4d4378c8e11dc9f8b00d7f36cf287384626e25b1f2b1dc3b8ed1b7995cba4e7
settlement.town.glass_tide (BRIEF_READY): PASS b84dacb2256f089b3046126458908a54e69311d9c1366d3513d30d2547a64cfa
settlement.town.iron_covenant (BRIEF_READY): PASS 0b9ee6b1b41410231bbc698482e6d269d4575cb3290a38a396c672d0a9ff56d4
settlement.town (BRIEF_READY): PASS e697f15fcace69f644ca3d4c7cd7560939d6418daa33699e927bb67e0abc396e
